ISBN,Book Title,Authors,Book Publisher,Price,Categories,Total Quantity,Available
,How to Start & Run Internet Business 2nd Edition (How to Books: Small Business Start-ups),,,,,,
,Marketing Whitebook 2020 - 21 : The Recession-Proof Marketer,,,,,,
,"Habit Of Winning: Stories to Inspire, Motivate and Unleash the Winner Within",,,,,,
,THE PRODUCTIVITY REVOLUTION: Control your time and get things done,,,,,,
,Chanakya In Daily Life,,,,,,
,Teach Your Child How To Think,,,,,,
,"Coders: Who They Are, What They Think and How They Are Changing Our World",,,,,,
,SHAPERS OF BUSINESS INSTITUTIONS: How Harsh Mariwala ‘Groomed’ Marico,,,,,,
,"42 Rules of Social Media for Small Business: A Modern Survival Guide That Answers the Question ""What Do I Do with Social Media""?",,,,,,
,Business Etiquette: A Guide For The Indian Professional,,,,,,
,Discover Your Voice: A Step-by-Step Guide to Unleashing the Power of Your Voice,,,,,,
,Technology and Society (Opposing Viewpoints (Paperback)),,,,,,
,Master Your Motivation,,,,,,
,"The 1-Page Marketing Plan: Get New Customers, Make More Money, And Stand out From The Crowd",,,,,,
,Corporate Chanakya on Management,,,,,,
,"Start Up, Stand Up",,,,,,
,Business Models for Teams: See How Your Organization Really Works and How Each Person Fits In,,,,,,
,HACK THE JOB: 49 Insider Hacks to Get Hired and Promoted in Your Dream Job Without Getting Fired or Laid Off,,,,,,
,The Retail Handbook,,,,,,
,The Memory Booster Workbook,,,,,,
,Handbook of New Entrepreneur,,,,,,
,Presentation Skills in 7 Simple Steps,,,,,,
,Billionaire In Training,,,,,,
,Sales Techniques,,,,,,
,Big Billion Startup - The Untold Flipkart Story,,,,,,
,"50 Films That Changed Bollywood, 1995-2015",,,,,,
,Tiger in the Toilet,,,,,,
,Corporate Softskills,,,,,,
,The Manager's Guide To Business Writing,,,,,,
,Instant Profit (Instant Success Series),,,,,,
,Successful Franchising (Instant Success Series),,,,,,
,Instant Advertising (Instant Success Series),,,,,,
,The Visual MBA: A Quick Guide to Everything You’ll Learn in Two Years of Business School,,,,,,
,Cheap Psychological Tricks What to Do When ,,,,,,
,Living with Honour: What is Easy to See is Easy to Miss,,,,,,
,The Complete Guide to Successful Event Planning,,,,,,
,Asian Founders at Work : Stories from the Region’s Top Technopreneurs ,,,,,,
,Hooked: How to Build Habit-Forming Products,,,,,,
,Nine Timeless Nuggets: Essential Marketing for the Young and Ambitious,,,,,,
,Follow Every rainbow by rashmi bansal,,,,,,
,42 Rules to Jumpstart Your Professional Success,,,,,,
,Seek: Finding Your True Calling,,,,,,
,Captivate: The Science of Succeeding with People,,,,,,
,The Manual for Indian Start-ups: Tools to Start and Scale-up Your New Venture,,,,,,
,What the Customer Wants You to Know: How Everybody Needs to Think Differently about Sales,,,,,,
,"Brilliant Marketing: What the best marketers know, do and say (Brilliant Business)",,,,,,
,How Management Works: The Concepts Visually Explained,,,,,,
,How to Decide: Simple Tools for Making Better Choices,,,,,,
,"The Case Study Handbook, Revised Edition: A Student's Guide",,,,,,
,Management Moment by Moment,,,,,,
,Evaluating Training (Competent Trainer's Toolkit S.) ,,,,,,
,Bezonomics: How Amazon Is Changing Our Lives and What the World's Best Companies Are Learning from It,,,,,,
,Winning in the Digital Age: Seven Building Blocks of a Successful Digital Transformation,,,,,,
,"Conquering the Chaos: Win in India, Win Everywhere",,,,,,
,Getting Things Done for Teens: Take Control of Your Life in a Distracting World,,,,,,
,Let's Build A Company: A Start-up Story Minus the Bullshit,,,,,,
,Do Better With Less: Frugal Innovation for Sustainable Growth,,,,,,
,Venture Capitalists at Work,,,,,,
,Decoding Greatness: The Hidden Strategy for Achieving Extraordinary Success,,,,,,
,"Ultralearning: Accelerate Your Career, Master Hard Skills and Outsmart the Competition",,,,,,
,"Harvard Business Review Leader's Handbook: Make an Impact, Inspire Your Organization, and Get to the Next Level (HBR Handbooks)",,,,,,
,"Networking for People Who Hate Networking, Second Edition: A Field Guide for Introverts, the Overwhelmed, and the Underconnected",,,,,,
,Uncommon Sense Teaching: Practical Insights in Brain Science to Help Students Learn,,,,,,
,A Dozen Lessons for Entrepreneurs (Columbia Business School Publishing),,,,,,
,Interviewing Skills (Essential Managers),,,,,,
,The Abc'S of Networking,,,,,,
,All Marketers Tell Stories: The Underground Classic That Explains How Marketing Really Works--and Why Authenticity Is the Best Marketing of All,,,,,,
,Innovative Teams (HBR 20-Minute Manager Series),,,,,,
,Giving Effective Feedback (HBR 20-Minute Manager Series),,,,,,
,Manage Projects Successfully: How to Make Things Happen on Time and on Budget (Steps to Success),,,,,,
,Getting Work Done (HBR 20-Minute Manager Series),,,,,,
,Managing Teams (Pocket Mentor),,,,,,
,Our Kid Eats Everything,,,,,,
,Why Study Smart?,,,,,,
,The Five Love Languages of Children,,,,,,
,Laugh & Learn with Dr Parikh: Study and Exam Skills,,,,,,
,The Ultimate Guide to 21st Century Careers,,,,,,
,Unlocking The Writer In Every Child,,,,,,
,Unlocking The Reader In Every Child,,,,,,
,"Smart Parents, Smarter Kids: The New - Age Parenting Guide",,,,,,
,Reignited 2: Emerging Technologies of Tomorrow,,,,,,
,Super Child!: Unlocking the Secrets of Working Memory,,,,,,
,Motivating Stories for all Ages,,,,,,
,101 Great Careers for the 21st Century,,,,,,
,How to Improve Concentration,,,,,,
,Innovative 90 days to transform your business,,,,,,
,Building Strong Brands,,,,,,
,The World's Top Business Gurus,,,,,,
,Corporate Chanakya on Leadership,,,,,,
,How Your Child Can Win in Life,,,,,,
,100 Tips to Crack the IIT,,,,,,
,6 Secrets Smart Students Don’t tell you,,,,,,
,The 7 Habits Of Highly Effective Teenagers,,,,,,
,Innovation Secrets of Indian CEOs,,,,,,
,Take Me Home: The Inspiring Stories of 20 Entrepreneurs from Small Town India with Big-Time Dreams,,,,,,
,Hachette School Skills Handbook,,,,,,
,Icons of Indian Industry,,,,,,
,Success Secrets: A Common Sense Guide to Life Long Achievement (SEI),,,,,,
,Fun Facts: Science,,,,,,
,Job at First Sight: The Ultimate Guide to Your First Job!,,,,,,
,A to Z About Interviews,,,,,,
,The High-performance Entrepreneur: Golden Rules for Success in Todays World,,,,,,
,Before You Start Up: How to Prepare to Make Your Startup Dream a Reality,,,,,,
,Funding Your Startup: And Other Nightmares,,,,,,
,Five Lies My Teacher Told Me: Success Tips for the New Generation,,,,,,
,Hachette School Handbook,,,,,,
,Awaken the Genius in Your Child,,,,,,
,Soft Skills Personality Development for Life Success,,,,,,
,Learning How to Learn: How to Succeed in School Without Spending All Your Time Studying; A Guide for Kids and Teens,,,,,,
,The Challenger Sale: How To Take Control of the Customer Conversation,,,,,,
,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",,,,,,
,"UP! Your Service Great Ideas: Tools, Tips and Proven Techniques to Lift Your Service Higher",,,,,,
